language,filename,blank,comment,code
Solidity,src/spoke/Spoke.sol,129,95,786
Solidity,src/hub/Hub.sol,140,65,606
Solidity,src/position-manager/SignatureGateway.sol,42,37,273
Solidity,src/hub/HubConfigurator.sol,22,38,207
Solidity,src/spoke/SpokeConfigurator.sol,24,33,205
Solidity,src/spoke/interfaces/ISpoke.sol,57,158,191
Solidity,src/hub/interfaces/IHub.sol,43,173,138
Solidity,src/position-manager/NativeTokenGateway.sol,23,15,101
Solidity,src/hub/AssetInterestRateStrategy.sol,22,29,91
Solidity,src/position-manager/interfaces/ISignatureGateway.sol,25,121,80
Solidity,src/hub/interfaces/IHubConfigurator.sol,20,137,76
Solidity,src/hub/interfaces/IHubBase.sol,35,241,68
Solidity,src/spoke/interfaces/ISpokeConfigurator.sol,22,136,59
Solidity,src/spoke/interfaces/ISpokeBase.sol,19,136,55
Solidity,src/spoke/TreasurySpoke.sol,21,32,52
Solidity,src/spoke/AaveOracle.sol,11,21,44
Solidity,src/misc/UnitPriceFeed.sol,8,21,40
Solidity,src/hub/interfaces/IAssetInterestRateStrategy.sol,17,88,32
Solidity,src/utils/Rescuable.sol,8,5,25
Solidity,src/utils/Multicall.sol,4,8,17
Solidity,src/position-manager/interfaces/INativeTokenGateway.sol,13,45,16
Solidity,src/spoke/instances/SpokeInstance.sol,4,8,16
Solidity,src/spoke/interfaces/IAaveOracle.sol,7,45,14
Solidity,src/spoke/interfaces/ITreasurySpoke.sol,8,44,13
Solidity,src/hub/interfaces/IBasicInterestRateStrategy.sol,3,25,12
Solidity,src/interfaces/IRescuable.sol,4,15,7
Solidity,src/spoke/interfaces/IPriceOracle.sol,4,24,7
Solidity,src/position-manager/interfaces/INativeWrapper.sol,3,2,6
Solidity,src/interfaces/IMulticall.sol,1,7,4
SUM,,739,1804,3241
